start,end,speaker
0.005,0.365,SPEAKER_01
0.805,1.305,SPEAKER_01
2.005,3.325,SPEAKER_00
3.745,4.165,SPEAKER_01
4.125,4.445,SPEAKER_00
5.165,7.385,SPEAKER_00
8.125,8.845,SPEAKER_00
9.005,9.785,SPEAKER_00
10.365,12.745,SPEAKER_00
13.585,14.305,SPEAKER_00
14.445,17.445,SPEAKER_00
18.305,22.565,SPEAKER_00
23.425,24.265,SPEAKER_00
24.545,25.265,SPEAKER_00
25.405,26.265,SPEAKER_00
26.425,27.245,SPEAKER_00
28.205,28.945,SPEAKER_00
29.725,31.685,SPEAKER_00
32.685,33.265,SPEAKER_00
33.805,34.745,SPEAKER_00
36.365,36.965,SPEAKER_00
39.345,40.265,SPEAKER_00
41.365,42.665,SPEAKER_00
44.325,44.885,SPEAKER_00
45.885,47.005,SPEAKER_00
47.725,48.125,SPEAKER_00
52.485,53.845,SPEAKER_00
54.225,55.805,SPEAKER_00
57.485,58.105,SPEAKER_00
59.765,61.285,SPEAKER_00
63.225,63.685,SPEAKER_01
63.685,63.885,SPEAKER_00
65.185,65.945,SPEAKER_01
65.945,67.265,SPEAKER_00
67.725,67.745,SPEAKER_01
67.745,69.405,SPEAKER_00
69.405,69.445,SPEAKER_01
70.225,71.645,SPEAKER_00
71.645,71.725,SPEAKER_01
72.405,73.225,SPEAKER_01
74.125,75.645,SPEAKER_01
76.345,78.165,SPEAKER_01
78.665,79.545,SPEAKER_01
80.065,81.005,SPEAKER_01
81.325,82.345,SPEAKER_01
84.025,84.865,SPEAKER_01
85.805,86.785,SPEAKER_01
88.345,89.065,SPEAKER_01
90.305,91.045,SPEAKER_01
93.845,94.785,SPEAKER_01
96.425,97.585,SPEAKER_01
99.005,99.825,SPEAKER_01
101.425,102.265,SPEAKER_01
103.605,104.485,SPEAKER_01
105.185,106.085,SPEAKER_01
107.305,108.345,SPEAKER_01
108.845,110.665,SPEAKER_01
113.365,114.565,SPEAKER_01
116.585,117.645,SPEAKER_01
120.225,121.065,SPEAKER_01
124.365,125.605,SPEAKER_01
126.745,127.745,SPEAKER_00
128.105,129.045,SPEAKER_00
